n_lags,aid_type,variable,coef,std_err,p_value,ci_lower,ci_upper,sig
4,Military,infra_lag1,0.28469803790266945,0.3643767819316079,0.4347569098923314,-0.429480454683282,0.9988765304886209,
4,Military,infra_lag2,-0.5394069002213788,0.45378956442293206,0.2347942162892891,-1.4288344464903258,0.350020646047568,
4,Military,infra_lag3,1.0281645305255316,0.4246433518831187,0.015608965144430886,0.19586356083461898,1.8604655002164443,**
4,Military,infra_lag4,0.0344707213370995,0.5228963858407081,0.9474499233406435,-0.9904061949106883,1.0593476375848874,
4,Military,battle_lag1,-0.025568880378242766,0.036672517408970706,0.4857934097814096,-0.09744701449982535,0.04630925374333982,
4,Military,battle_lag2,-0.01364144378976985,0.019475575504163397,0.48378361069535925,-0.051813571777930105,0.024530684198390405,
4,Military,battle_lag3,0.04365535902499008,0.030245914502683185,0.14917281433570118,-0.015626633400268965,0.10293735145024913,
4,Military,battle_lag4,-0.023572002160928668,0.020941159442978245,0.260537792869584,-0.06461667466916603,0.01747267034730869,
4,Military,month_2,8.147594824806417,27.37637036447216,0.7660470589455612,-45.51009108955901,61.80528073917185,
4,Military,month_3,-12.363742083623505,27.03100699797072,0.6474693153814717,-65.34451579964612,40.617031632399105,
4,Military,month_4,52.81918843242329,73.85414263085949,0.47462963774411104,-91.93493112406131,197.57330798890789,
4,Military,month_5,20.82202687509062,19.49762981049789,0.28575973535425425,-17.393327553485243,59.037381303666486,
4,Military,month_6,22.964319122773695,37.408463863445306,0.5394059475147008,-50.3562700495791,96.28490829512648,
4,Military,month_7,35.35434295235729,71.78189624064505,0.622434959901339,-105.338173679307,176.04685958402158,
4,Military,month_8,-23.000100417742573,39.78991681159523,0.5633421326973422,-100.98833736846923,54.988136532984086,
4,Military,month_9,18.28973673475245,32.2730160694165,0.5710065765730792,-44.96537476130389,81.54484823080878,
4,Military,month_10,-15.09181912116553,18.933666065008335,0.4255504096770957,-52.20180460858187,22.01816636625081,
4,Military,month_11,-40.35635121908537,20.880488061480953,0.053494743918307996,-81.28210781958803,0.5694053814172975,*
4,Military,month_12,19.502613665340164,31.892509258890996,0.5409724912176999,-43.006704482086185,82.0119318127665,
4,Financial,infra_lag1,-2.8687572526617213,3.005736303393121,0.34005154962616024,-8.760000407312239,3.022485901988796,
4,Financial,infra_lag2,3.6796041675927187,3.88274909296682,0.34347519358595013,-3.9305840546222486,11.289792389807687,
4,Financial,infra_lag3,-2.0614855540537196,2.298452331988437,0.3699438561490689,-6.566452124751056,2.4434810166436165,
4,Financial,infra_lag4,0.7347065532654325,0.9486545133673282,0.4387978269161057,-1.1246562929345307,2.5940693994653956,
4,Financial,battle_lag1,0.13690296416429235,0.12988612030554395,0.2920757301183039,-0.11767383163457376,0.3914797599631584,
4,Financial,battle_lag2,-0.02247267823401821,0.036303003404648065,0.5360086671628883,-0.09362656490712842,0.048681208439091996,
4,Financial,battle_lag3,0.0516695397034509,0.060308726208801934,0.39174666283943727,-0.06653556366580088,0.1698746430727027,
4,Financial,battle_lag4,-0.2399782242162545,0.2435944247870133,0.32473836386536625,-0.7174232967988006,0.23746684836629153,
4,Financial,month_2,121.7280782373326,114.47990261458321,0.287844639501462,-102.65253088725049,346.1086873619157,
4,Financial,month_3,-68.11395214917687,114.15071295051597,0.5508142740221742,-291.84934953218817,155.62144523383444,
4,Financial,month_4,20.64129225806637,25.896474123771924,0.4255617386176289,-30.115797024526604,71.39838154065934,
4,Financial,month_5,-6.580975078058908,18.338232156194337,0.7197555549594363,-42.52391010419981,29.361959948081992,
4,Financial,month_6,16.15769846429729,17.060154728768303,0.34376980804514123,-17.280204804088584,49.595601732683164,
4,Financial,month_7,-182.02245691787502,201.71766536313672,0.36703789919279095,-577.389081029623,213.34416719387295,
4,Financial,month_8,-39.331677409491746,39.84623460919208,0.32379098834284115,-117.43029724350822,38.76694242452473,
4,Financial,month_9,47.274600531834864,43.28482921627033,0.2749663853628286,-37.56366473205499,132.1128657957247,
4,Financial,month_10,41.40102467848148,30.0384486108525,0.16836688444404802,-17.474334598789426,100.27638395575238,
4,Financial,month_11,156.80613778335626,164.4540050512007,0.340523172368405,-165.52371211699713,479.1359876837097,
4,Financial,month_12,-37.04820222214766,81.70371619332447,0.650306384362831,-197.18748596106363,123.0910815167683,
4,Humanitarian,infra_lag1,-0.18127718251704644,0.12513989817660037,0.1477007707153557,-0.4265513829431832,0.06399701790909029,
4,Humanitarian,infra_lag2,0.36444710321262874,0.1920703260448625,0.05799622130522497,-0.012010735835301711,0.7409049422605591,*
4,Humanitarian,infra_lag3,-0.06833664761087183,0.06801953588057869,0.31525372626963,-0.20165493793680606,0.0649816427150624,
4,Humanitarian,infra_lag4,-0.049198256338269755,0.043984636050417227,0.263554085758515,-0.13540814299708753,0.03701163032054801,
