donor_group,aid_type,n_donors,variable,coef,std_err,p_value,ci_lower,ci_upper,sig
frontline_adjacent,Military,6,infra_lag1,-1.9690987382420344,1.1881493537014147,0.09953868029635227,-4.297871471496807,0.35967399501273833,*
frontline_adjacent,Military,6,infra_lag2,2.287876621926461,1.2333521555205476,0.06554517561802631,-0.1294936028938123,4.705246846746734,*
frontline_adjacent,Military,6,infra_lag3,-1.8993655501191895,1.5202806262546456,0.213469526939557,-4.879115577578295,1.0803844773399158,
frontline_adjacent,Military,6,infra_lag4,1.0030196141233942,0.7182422752922161,0.16461572522185808,-0.40473524544934913,2.4107744736961374,
frontline_adjacent,Military,6,infra_lag5,1.2235424627634748,0.8834524354840257,0.16810880133057227,-0.5080243107852156,2.955109236312165,
frontline_adjacent,Military,6,infra_lag6,-0.7982696978044777,0.4313804897025934,0.06619550188888756,-1.6437754576215609,0.04723606201260544,*
frontline_adjacent,Military,6,battle_lag1,0.014987423573946978,0.025179149741717893,0.5525797244632238,-0.03436370991982009,0.06433855706771405,
frontline_adjacent,Military,6,battle_lag2,-0.03983534620980689,0.015940961734240425,0.013527220367297144,-0.07107963120891812,-0.008591061210695656,**
frontline_adjacent,Military,6,battle_lag3,0.018846851652877302,0.026992558990513425,0.4861110064268874,-0.03405856396852901,0.07175226727428362,
frontline_adjacent,Military,6,battle_lag4,-0.1045734161021258,0.08522342230281456,0.22171342434641161,-0.27161132381564235,0.06246449161139074,
frontline_adjacent,Military,6,battle_lag5,0.10428642422077723,0.050517366403829686,0.040693690284206996,0.005272386069271051,0.2033004623722834,**
frontline_adjacent,Military,6,battle_lag6,-0.17459534367746088,0.1006664680322593,0.08488887079689467,-0.37190162102068913,0.022710933665767347,*
frontline_adjacent,Military,6,month_2,-80.55574512120533,42.61412884443305,0.06062679823125827,-164.0794376562941,2.9679474138834365,*
frontline_adjacent,Military,6,month_3,-226.4270360091611,104.98847959449469,0.03261294591651209,-432.2044560143707,-20.649616003951508,**
frontline_adjacent,Military,6,month_4,-32.120015321343054,44.97858102877285,0.4762566223745419,-120.27803413773785,56.03800349505173,
frontline_adjacent,Military,6,month_5,-140.66634536650602,92.3527077776127,0.129814558653508,-321.67765261062686,40.34496187761485,
frontline_adjacent,Military,6,month_6,-180.86605001906167,114.5494627925052,0.11644375175676291,-405.38299709237185,43.6508970542485,
frontline_adjacent,Military,6,month_7,-190.35902849664902,116.35470669328885,0.10391736869652601,-418.4142536154951,37.69619662219711,
frontline_adjacent,Military,6,month_8,-109.70331217972392,85.79017631733781,0.20295051115203933,-277.852057761706,58.445433402258175,
frontline_adjacent,Military,6,month_9,-144.3836690291218,97.58187059682805,0.1410590967451566,-335.6441353989048,46.8767973406612,
frontline_adjacent,Military,6,month_10,-261.3547967735731,148.9773849015766,0.08140333927118815,-553.3504711806634,30.64087763351705,*
frontline_adjacent,Military,6,month_11,35.629793042927034,37.2053709190351,0.3397691068106643,-37.29273395838176,108.55232004423583,
frontline_adjacent,Military,6,month_12,-163.0881813911905,87.2324337188539,0.06347821028809997,-334.0637514801441,7.887388697763157,*
frontline_adjacent,Financial,6,infra_lag1,0.012108956280137032,0.028912573954556788,0.67594806214479,-0.04455968867079427,0.06877760123106834,
frontline_adjacent,Financial,6,infra_lag2,-0.040564798496666346,0.07811875972165193,0.6043321200291514,-0.1936775675511041,0.11254797055777142,
frontline_adjacent,Financial,6,infra_lag3,0.057586742391371286,0.07673115621122469,0.45412142497060537,-0.0928063237826291,0.20797980856537168,
frontline_adjacent,Financial,6,infra_lag4,-0.05146503338157003,0.05784302698206415,0.37502287626934794,-0.16483736626641576,0.0619072995032757,
frontline_adjacent,Financial,6,infra_lag5,0.04683669211824409,0.05624874720365417,0.406345422993734,-0.0634108524009181,0.15708423663740625,
frontline_adjacent,Financial,6,infra_lag6,0.006626638600645452,0.01807162810730612,0.7143655137325708,-0.028793752489674546,0.04204702969096545,
