aid_type,variable,coef,std_err,t_stat,p_value,ci_lower,ci_upper,sig
Military,infra_lag1,-0.8874632917008709,0.5731949105625438,-1.5482748980270926,0.12182748539297661,-2.0109253164034566,0.2359987330017148,
Military,infra_lag2,1.4422298312781758,0.8702806205307888,1.6572009042308125,0.09774787820261444,-0.2635201849621702,3.147979847518522,*
Military,infra_lag3,-1.0918345521556159,1.1642674993373414,-0.9377866794160691,0.3485482515236322,-3.373798850856805,1.1901297465455731,
Military,infra_lag4,1.1593471647763685,1.3232456223926856,0.8761390517053388,0.38113490166668385,-1.4342142551132953,3.752908584666032,
Military,infra_lag5,0.5167938425113011,0.5469326794035322,0.9448947959644695,0.34490834300604933,-0.5551942091196219,1.5887818941422243,
Military,infra_lag6,-0.9343266745058951,0.7948642904279548,-1.175454333220648,0.24005295887741918,-2.4922606837446866,0.6236073347328963,
Military,battle_lag1,-0.011952825937953184,0.02436132587848116,-0.49064759437052446,0.6237680382609645,-0.05970102465977625,0.03579537278386989,
Military,battle_lag2,-0.030212902145241024,0.02941884203403923,-1.0269915488272114,0.3046374422000486,-0.08787383253195792,0.02744802824147587,
Military,battle_lag3,0.04106774607699414,0.028162580531342386,1.4582380343764834,0.1450442373274874,-0.014130911764436933,0.09626640391842523,
Military,battle_lag4,-0.0909838819061025,0.04712263644423496,-1.9307892930348465,0.053751326578455494,-0.18334424933680302,0.0013764855245980145,*
Military,battle_lag5,0.0810046433946698,0.0288851777979595,2.8043671380964152,0.005125229227892714,0.024389694910669182,0.1376195918786704,***
Military,battle_lag6,-0.09667073810714032,0.08489821030083192,-1.138666383715194,0.25507621899105337,-0.2630712302967709,0.06972975408249023,
Military,month_2,-34.576981096088815,65.9797796064491,-0.5240542072485058,0.6003404349883232,-163.89734912472906,94.74338693255143,
Military,month_3,-187.00809123504692,139.41544385260252,-1.34137284985989,0.18006062807317313,-460.2623611861478,86.246178716054,
Military,month_4,85.02008272979893,89.03275249054612,0.9549304087709377,0.33981082067695345,-89.48411215167147,259.5242776112693,
Military,month_5,-35.847389185353805,77.06615301261083,-0.46515088380612263,0.6419102651822626,-186.897049090071,115.2022707193634,
Military,month_6,-81.60836403354767,64.90762106995227,-1.2573001858379107,0.20889672952010163,-208.8273013306541,45.61057326355878,
Military,month_7,-49.0321732502369,43.12021740893047,-1.1371040360311826,0.25572841950661807,-133.54779937174064,35.48345287126683,
Military,month_8,-43.454533507987904,40.03641630044256,-1.0853752039616882,0.27797985766494215,-121.92590945685532,35.016842440879515,
Military,month_9,-64.17566595583084,81.28758535103421,-0.7894891412839137,0.42998668335547485,-223.4993332438579,95.14800133219622,
Military,month_10,-157.32773036486813,109.33236459998841,-1.4389858935227384,0.1504228966891994,-371.6191649808454,56.963704251109135,
Military,month_11,10.950662643360655,33.02250327981914,0.3316121297822044,0.7402417517334818,-53.77344378508485,75.67476907180617,
Military,month_12,-126.3815776948277,84.1974047573328,-1.501015121060736,0.13362238290581474,-291.40849101919997,38.64533562954459,
Financial,infra_lag1,-3.086194889597522,3.354611470503312,-0.919985791718074,0.3577704701469673,-9.661233371784014,3.4888435925889696,
Financial,infra_lag2,4.342448879572186,4.615318912329701,0.9408773179186924,0.3469626113600084,-4.703576188594028,13.388473947738401,
Financial,infra_lag3,-3.3003965292405786,3.5636228953058837,-0.9261351793389713,0.3545673783665324,-10.28509740404011,3.684304345558953,
Financial,infra_lag4,2.3953894986474724,2.385008325222487,1.0043526780662355,0.31541702938727223,-2.2792268187886027,7.0700058160835475,
Financial,infra_lag5,-1.853937625600035,1.239927544544098,-1.495198355547218,0.1351332678843007,-4.284195612906467,0.5763203617063972,
Financial,infra_lag6,0.4302949414660625,0.3890977808161515,1.1058786831513097,0.26900715057097946,-0.33233670893359435,1.1929265918657195,
Financial,battle_lag1,0.13965427587225945,0.13786116214840935,1.0130066633409038,0.31126713610713064,-0.1305536019386229,0.4098621536831418,
Financial,battle_lag2,-0.0069455575875556775,0.027200544251468603,-0.25534627260925763,0.7985006972432129,-0.060258624320434134,0.04636750914532278,
Financial,battle_lag3,0.07990795406162926,0.0838497552428756,0.952989711540258,0.34079279415378694,-0.08443756621440693,0.24425347433766545,
Financial,battle_lag4,-0.2604738566608006,0.26900998829670375,-0.9682683468745842,0.3331111635941528,-0.78773343372234,0.2667857204007388,
Financial,battle_lag5,0.01219053488814018,0.021403272144758404,0.5695640743943727,0.5690831090508306,-0.029759878515586292,0.05414094829186666,
Financial,battle_lag6,-0.07276209766279684,0.07692935907079299,-0.9458300256451989,0.3444312462029504,-0.2235436414415511,0.0780194461159574,
Financial,month_2,43.91355341116111,48.948977669586796,0.8971291230551212,0.36983521130382413,-52.026442821229004,139.85354964355122,
