donor,year_month,aid_type_general,aid_eur_m,aid_type_specific,donor_group,frontline_flag,reluctant_flag,year,month_num,t,post_2022,winter,infrastructure_attacks,Energy,Medical/Edu,Water,Battle Counts,Remote Attack,Deaths,Total Events,battlefield_events,infra_spike,infra_lag1,battle_lag1,infra_lag2,battle_lag2,infra_lag3,battle_lag3,infra_lag4,battle_lag4,infra_lag5,battle_lag5,infra_lag6,battle_lag6
Estonia,2022-02,Humanitarian,0.0,,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Estonia,2022-02,Military,3.438577310679868,Equipment | Weapons,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Finland,2022-02,Financial,0.0,,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Finland,2022-02,Humanitarian,2.0,Assistance,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Finland,2022-02,Military,29.3,Weapons and equipment,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
France,2022-02,Financial,500.0,Loan,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
France,2022-02,Humanitarian,0.0,,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
France,2022-02,Military,0.0,,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Germany,2022-02,Financial,0.0,,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Germany,2022-02,Humanitarian,0.0,,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Germany,2022-02,Military,0.0,,major_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Greece,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Greece,2022-02,Humanitarian,0.0,Equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Greece,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Hungary,2022-02,Financial,0.0,,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Hungary,2022-02,Humanitarian,0.1754203440340683,Equipment,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Hungary,2022-02,Military,0.0,,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Iceland,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Iceland,2022-02,Humanitarian,1.0211986759630962,Contribution,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Iceland,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
India,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
India,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
India,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Ireland,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Ireland,2022-02,Humanitarian,19.0,Assistance,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Ireland,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Italy,2022-02,Financial,110.0,Grant,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Italy,2022-02,Humanitarian,1.0,Contribution,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Italy,2022-02,Military,150.0,Weapons and equipment,reluctant,0,1,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Japan,2022-02,Financial,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Japan,2022-02,Humanitarian,52.28400885213235,Assistance,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Japan,2022-02,Military,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Latvia,2022-02,Financial,0.0,,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Latvia,2022-02,Humanitarian,0.0,,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Latvia,2022-02,Military,0.0,,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Lithuania,2022-02,Financial,0.0,,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Lithuania,2022-02,Humanitarian,5.8,Equipment,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Lithuania,2022-02,Military,0.0,,frontline_adjacent,1,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Luxembourg,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Luxembourg,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Luxembourg,2022-02,Military,50.529011893950745,Weapons and equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Malta,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Malta,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Malta,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Netherlands,2022-02,Financial,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Netherlands,2022-02,Humanitarian,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Netherlands,2022-02,Military,145.77445097828388,Weapons and equipment,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
New Zealand,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
New Zealand,2022-02,Humanitarian,6.985511001400676,Contribution | Equipment,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
New Zealand,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Norway,2022-02,Financial,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Norway,2022-02,Humanitarian,0.0,,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
Norway,2022-02,Military,10.342535201333108,Weapons and equipment,other_western,0,0,2022,2,1,0,1,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,,,,,,,,,,,,
