donor,year_month,aid_type_general,aid_eur_m,aid_type_specific,donor_group,frontline_flag,reluctant_flag,year,month_num,t,post_2022,winter
Netherlands,2022-02,Humanitarian,0.0,,other_western,0,0,2022,2,1,0,1
Netherlands,2022-02,Military,145.77445097828388,Weapons and equipment,other_western,0,0,2022,2,1,0,1
New Zealand,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
New Zealand,2022-02,Humanitarian,6.985511001400676,Contribution | Equipment,other,0,0,2022,2,1,0,1
New Zealand,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Norway,2022-02,Financial,0.0,,other_western,0,0,2022,2,1,0,1
Norway,2022-02,Humanitarian,0.0,,other_western,0,0,2022,2,1,0,1
Norway,2022-02,Military,10.342535201333108,Weapons and equipment,other_western,0,0,2022,2,1,0,1
Poland,2022-02,Financial,881.6864899179147,Swap-line,frontline_adjacent,1,0,2022,2,1,0,1
Poland,2022-02,Humanitarian,0.0,,frontline_adjacent,1,0,2022,2,1,0,1
Poland,2022-02,Military,0.0,Weapons and equipment,frontline_adjacent,1,0,2022,2,1,0,1
Portugal,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Portugal,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1
Portugal,2022-02,Military,2.689522919440305,Equipment,other,0,0,2022,2,1,0,1
Romania,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Romania,2022-02,Humanitarian,0.47279030850210274,Equipment,other,0,0,2022,2,1,0,1
Romania,2022-02,Military,3.0,Weapons and equipment,other,0,0,2022,2,1,0,1
Slovakia,2022-02,Financial,0.0,,reluctant,0,1,2022,2,1,0,1
Slovakia,2022-02,Humanitarian,0.0,,reluctant,0,1,2022,2,1,0,1
Slovakia,2022-02,Military,17.2,Equipment | Weapons,reluctant,0,1,2022,2,1,0,1
Slovenia,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
Slovenia,2022-02,Humanitarian,1.263,Contribution | Equipment,other,0,0,2022,2,1,0,1
Slovenia,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
South Korea,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
South Korea,2022-02,Humanitarian,8.816864899179148,Equipment,other,0,0,2022,2,1,0,1
South Korea,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Spain,2022-02,Financial,0.0,,reluctant,0,1,2022,2,1,0,1
Spain,2022-02,Humanitarian,0.15,Equipment,reluctant,0,1,2022,2,1,0,1
Spain,2022-02,Military,0.0,,reluctant,0,1,2022,2,1,0,1
Sweden,2022-02,Financial,0.0,,other_western,0,0,2022,2,1,0,1
Sweden,2022-02,Humanitarian,0.0,,other_western,0,0,2022,2,1,0,1
Sweden,2022-02,Military,85.43621118882113,Assistance | Weapons and equipment,other_western,0,0,2022,2,1,0,1
Switzerland,2022-02,Financial,2.8676713075147333,Grant,other,0,0,2022,2,1,0,1
Switzerland,2022-02,Humanitarian,0.0,,other,0,0,2022,2,1,0,1
Switzerland,2022-02,Military,0.0,,other,0,0,2022,2,1,0,1
Taiwan,2022-02,Financial,0.0,,other,0,0,2022,2,1,0,1
